region/,key,value
Africa,Guinea,10824200
Africa,Guinea-Bissau,1704000
Africa,Kenya,44354000
Africa,Lesotho,2074000
Africa,Liberia,4294000
Africa,Libya,6202000
Africa,Madagascar,20696070
Africa,Malawi,16363000
Africa,Mali,15302000
Africa,Mauritania,3461041
Africa,Mauritius,1257900
Africa,Mayotte,212600
Africa,Morocco,33087700
Africa,Mozambique,23700715
Africa,Namibia,2113077
Africa,Niger,17129076
Africa,Nigeria,173615000
Africa,R√©union,821136
Africa,Rwanda,10537222
Africa,S√£o†Tom√©†and†Pr√≠ncipe,187356
Africa,Senegal,13567338
Africa,Seychelles,90945
Africa,Sierra†Leone,6190280
Africa,Somalia,10496000
Africa,South†Africa,52981991
Africa,South†Sudan,11296000
Africa,Sudan,37964000
Africa,Swaziland,1250000
Africa,Tanzania,44928923
Africa,Togo,6191155
Africa,Tunisia,10833431
Africa,Uganda,35357000
Africa,Western†Sahara,567000
Africa,Zambia,13092666
Africa,Zimbabwe,12973808
Americas,Grenada,103328
Americas,Guadeloupe,403355
Americas,Guatemala,15438384
Americas,Guyana,784894
Americas,Haiti,10413211
Americas,Honduras,8555072
Americas,Jamaica,2711476
Americas,Martinique,394173
Americas,Mexico,118395054
Americas,Montserrat,4922
Americas,Nicaragua,6071045
Americas,Panama,3405813
Americas,Paraguay,6783374
Americas,Peru,30475144
Americas,Puerto†Rico,3667084
Americas,Saint†Barth√©lemy,8938
Americas,Saint†Kitts†and†Nevis,54000
Americas,Saint†Lucia,166526
Americas,Saint†Pierre†and†Miquelon,6081
Americas,Saint†Vincent†and†the†Grenadines,109000
Americas,Sint†Maarten,37429
Americas,Suriname,534189
Americas,Trinidad†and†Tobago,1328019
Americas,Turks†and†Caicos†Islands,31458
Americas,United†States,317101000
Americas,United†States†Virgin†Islands,106405
Americas,Uruguay,3286314
Americas,Venezuela,28946101
Asia,Hong†Kong,7184000
Asia,India,1236670000
Asia,Indonesia,237641326
Asia,Iran,77068000
Asia,Iraq,34035000
Asia,Israel,8092700
Asia,Japan,127290000
Asia,Jordan,6512600
Asia,Kazakhstan,17099000
Asia,Kuwait,3582054
Asia,Kyrgyzstan,5551900
Asia,Laos,6580800
Asia,Lebanon,4822000
Asia,Malaysia,29793600
Asia,Maldives,317280
Asia,Mongolia,2754685
Asia,Nepal,26494504
Asia,North†Korea,24895000
Asia,Oman,3929000
Asia,Pakistan,184845000
Asia,Philippines,98678000
Asia,Qatar,2024707
Asia,Saudi†Arabia,29994272
Asia,Singapore,5399200
Asia,South†Korea,50219669
Asia,Sri†Lanka,20277597
Asia,Syria,21898000
Asia,Taiwan,23361147
Asia,Tajikistan,8000000
Asia,Thailand,65926261
Asia,Turkey,75627384
Asia,Turkmenistan,5240000
Asia,United†Arab†Emirates,8264070
Asia,Uzbekistan,30183400
Asia,Vietnam,90388000
Asia,Yemen,24527000
Europe,Guernsey,62431
Europe,Vatican†City,800
Europe,Hungary,9906000
Europe,Iceland,325010
Europe,Isle†of†Man,84497
Europe,Italy,59829079
Europe,Jersey,97857
Europe,Latvia,2014000
Europe,Liechtenstein,36842
Europe,Lithuania,2950684
Europe,Luxembourg,537000
Europe,Malta,416055
Europe,Moldova,3559500
Europe,Monaco,36136
Europe,Montenegro,620029
Europe,Netherlands,16807300
Europe,Norway,5077798
Europe,Poland,38533299
Europe,Portugal,10562178
Europe,Republic†of†Kosovo,1733842
Europe,Romania,20121641
Europe,Russia,143500000
Europe,San†Marino,32509
Europe,Serbia,7181505
Europe,Slovakia,5412008
Europe,Slovenia,2061405
Europe,Spain,46704314
Europe,Svalbard†and†Jan†Mayen,2655
Europe,Sweden,9625444
Europe,Switzerland,8085300
Europe,Ukraine,45461627
Europe,United†Kingdom,63705000
Oceania,Guam,159358
Oceania,Kiribati,106461
Oceania,Marshall†Islands,56086
Oceania,Nauru,9945
Oceania,New†Caledonia,258958
Oceania,New†Zealand,4478810
Oceania,Niue,1613
Oceania,Norfolk†Island,2302
Oceania,Northern†Mariana†Islands,53883
Oceania,Palau,20901
Oceania,Papua†New†Guinea,7059653
Oceania,Pitcairn†Islands,56
Oceania,Samoa,187820
Oceania,Solomon†Islands,561000
Oceania,Tokelau,1411
Oceania,Tonga,103036
Oceania,Tuvalu,11323
Oceania,Vanuatu,264652
Oceania,Wallis†and†Futuna,13135
